KC306166.1 |Influenza B virus (B/Wisconsin/01/2010) segment 4 hemagglutintin (HA) gene, complete cds|4||USA|2012-12-26|2010
KP067337.1 |Influenza B virus (B/Ulan Ude/6/2003) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Russia|2014-11-23|2003
KP861940.1 |Influenza B virus (B/Tehran/88859/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861953.1 |Influenza B virus (B/Tehran/88859/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
KP861939.1 |Influenza B virus (B/Tehran/88658/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861952.1 |Influenza B virus (B/Tehran/88658/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
KP861949.1 |Influenza B virus (B/Tehran/86136/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861962.1 |Influenza B virus (B/Tehran/86136/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
KP861948.1 |Influenza B virus (B/Tehran/85691/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861961.1 |Influenza B virus (B/Tehran/85691/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
KP861947.1 |Influenza B virus (B/Tehran/85541/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861960.1 |Influenza B virus (B/Tehran/85541/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
KP861941.1 |Influenza B virus (B/Tehran/85467/2014) segment 4 hemagglutinin (HA) gene, complete cds|4||Iran|2015-03-28|2014-11
KP861959.1 |Influenza B virus (B/Tehran/85467/2014) segment 6 NB protein (NB) and neuraminidase (NA) genes, complete cds|6||Iran|2015-03-28|2014-11
